term,definition,category,example,correct,attempts,last_tested
"Loop
• T-loop","Orthodontic loop in the shape of a ""T. "" A T-loop is basically a double L-loop, but is more flexible in
the vertical plane than an L-loop of the same dimensions that is made from the same orthodontic
wire. Used primarily as a force-producing mechanism for space closure or alignment.
[See Loop, L-loop (Boot loop)]
[See Loop, Rectangular loop]
[See Loop, Closing loop]",,,,,
"Loop
• Teardrop loop","A modified version of a vertical loop with its legs touching each
other at its base, giving it the shape of an inverted teardrop. Its
advantage is that it required less interbracket space than a
regular closed or open loop of the same dimensions.
[See Loop, Open loop]

[See Loop, Vertical loop]
[See Loop, Closing loop]",,,,,
Preferred provider organization (PPO),"A formal agreement between a purchaser of a health benefits program and a defined group of
health care practitioners for the delivery of services to a specific patient population, usually as an
adjunct to a traditional plan, using discounted fees for cost savings. Preferred provider
organizations provide a reduced fee for each service, rather than a fixed fee for all services.
Preferred provider organizations allow treatment by a non-PPO physician or dentist, for a higher
fee. [Modified from the AAO Glossary of Dentofacial Orthopedic Terms, 1993.]
[Compare with Health maintenance organization (HMO)]",,,,,
"Loop
• Box loop","A rectangular or square-shaped loop bent into a continuous
archwire (the loop has no free end). It is used to increase
the flexibility of the wire at a certain localized point where
this is necessary (e.g. when there is only one tooth that is
not well aligned within the arch), while maintaining rigidity of
the archwire in the remainder of the arch for anchorage
purposes. A box loop offers flexibility in both the horizontal
and vertical plane.
[Compare with Loop, Rectangular loop][See Loop, Closed loop (Reverse loop)]",,,,,
"Loop
• Closed loop (Reverse loop)","A loop bent in such a way that the separation between its vertical
legs is reduced when activated by traction (the base of the loop
remains closed–""safety-pin"" principle), in contrast to an open loop.
[See Loop, Box loop]",,,,,
"Loop
• Closing loop","Any loop which, upon mesiodistal-pulling activation, is
capable of generating a force in the direction of the
activation. A closing loop can be open or closed and can
have various configurations. Closing loops are used for
space closure, either by movement of an individual tooth
(e.g. canine retraction), or as part of a closing loop arch for
""en masse"" movement of teeth.
[See Arch, Closing-loop arch]
[See Loop, L-loop (Boot loop)]
[See Loop, Vertical loop]",,,,,
"Loop
• Wilson loop","A U-shaped loop, similar in shape, but smaller than a Coffin spring, often incorporated in a
transpalatal arch (midway between the maxillary first molars), or in a lingual arch (mesial to the
mandibular first molars, bilaterally), to facilitate adjustment in the transverse or sagittal direction,
respectively.",,,,,
"""Low-angle"" patient (""Horizontal"" patient,
Hypodivergent face)","A general term used to describe a patient with a
predominantly horizontal growth pattern, a short
lower face height and a flat mandibular plane. A
Class II malocclusion with a deep, occasionally
impinging overbite may be associated. (Referring to
the mandibular plane angle. )
[Compare with ""High-angle"" patient (""Vertical""
patient, Long face syndrome, Hyperdivergent face)]",,,,,
Mandibular rotation,"To visualize the following concepts, one has to imagine the core of the mandible as the bone that
surrounds the inferior alveolar nerve. The rest of the mandible consists of its various functional
processes. If implants are placed in areas of stable bone away from the functional processes, it
can be observed that in most individuals the core of the mandible rotates during growth, in a sense
that would tend to decrease the mandibular plane angle (i.e. counterclockwise, with the standard
head orientation toward the right side). The concept of mandibular rotation during growth was
elucidated mainly by the metallic implant experiments of A. Bjцrk in the 1960s. Following are the
most commonly encountered terms on components of mandibular rotation (the terminology varies
greatly depending on the source):",,,,,
"Mandibular rotation
• Clockwise rotation (Backward rotation, Posterior
rotation)","Displacement of the mandible in the direction of mouth
opening (clockwise, with the patient facing to the right),
due to increased posterior vertical growth. Clockwise
mandibular rotation also can occur as a consequence
of orthodontic treatment, when posterior teeth are
extruded in a non-growing patient. Clockwise rotation
of the mandible usually is accompanied by an increase
of the anterior lower face height and a reduction of the
overbite.",,,,,
"Occlusal trauma (Traumatic occlusion, Trauma from occlusion, Periodontal trauma)","1. Injury to the periodontium resulting from occlusal forces in excess of the reparative capacity of
the periodontal attachment. The affected teeth usually exhibit widening of the PDL space, wear
facets and some degree of hypermobility.
2. The same term sometimes is used to denote a palatally impinging overbite.
[See Tooth mobility, Increased mobility (Hypermobility)]
[See Impinging overbite]

SUBTERMS:
Primary occlusal trauma
Secondary occlusal trauma",,,,,
Maturation,"The qualitative changes that occur with ripening or aging. Rapid maturation as well as accelerated
physical growth occurs during puberty.",,,,,
Maxilla (Upper jaw),"An irregularly shaped paired bone that makes up a major part of the bony framework of the facial
skeleton. It consists of the body of the maxilla and the zygomatic, nasal, palatine and alveolar
processes. The suture between the right and left portions of the maxilla persists into adulthood.",,,,,
Maxillary,"Of or pertaining to the upper jaw.
Maxillary incisor-lip line relationship
See Tooth-to-lip relationship.
[See Tooth-to-lip relationship]",,,,,
Tooth size discrepancy (Bolton discrepancy),"Incongruity between the sums of the mesiodistal tooth sizes of sets of corresponding maxillary and
mandibular teeth, as determined by the Bolton analysis.
A discrepancy could involve the ""overall ratio"" (which encompasses all permanent teeth except the
second and third molars) or the ""anterior ratio"" (which includes the six anterior teeth of each jaw)
and is identified as a maxillary or mandibular excess or deficiency. Only deviations that are larger
than two standard deviations are considered to be of potential clinical significance.
A tooth size discrepancy may cause difficulties in achieving an ideal overjet and overbite or arriving
at a good intercuspation during the final stages of orthodontic treatment. Different ways to address
such a problem include extraction of teeth in the arch with the excess tooth material (usually one
mandibular incisor), interproximal stripping, compromising the angulation of some teeth so they
can occupy a larger or a smaller space in the arch, or increasing the mesiodistal tooth size in the
arch with the deficiency in tooth material (build-ups).
[See Bolton analysis]",,,,,
